duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0.154586934,0.461220269,0.651851926,0.454545455,0.653497663,1,0.533333333,0.645224769,0.000438542,0.91692406,0.609183673,0.603442444,0.8,blues
0.055695603,0.603929679,0.570349054,0.090909091,0.806799488,1,0.049401709,0.481405044,0,0.084034508,0.337755102,0.465690768,0.2,blues
0.059515649,0.505687694,0.347977018,0.181818182,0.628795989,0,0.055213675,0.679395754,0.0821875,0.069762488,0.634693878,0.60959982,0.8,blues
0.083066906,0.254395036,0.630721552,0,0.857116745,1,0.057435897,0.000840385,0.009166667,0.28852913,0.215306122,0.619938916,0.8,blues
0.060396873,0.502585315,0.894348128,0.636363636,0.909914615,1,0.103589744,0.077785404,0,0.034188945,0.368367347,0.357794522,0.8,blues
0.049234955,0.476732161,0.663926426,0,0.759798418,1,0.148547009,0.391957465,0,0.42698903,0.784693878,0.663535687,0.8,blues
0.066398871,0.633919338,0.826932171,0.727272727,0.93111732,0,0.31965812,0.246228262,0,0.238470551,0.410204082,0.735708368,0.8,blues
0.076654234,0.914167528,0.413380558,0.363636364,0.741468,1,0.111111111,0.464319551,0,0.211843647,0.710204082,0.451008172,0.8,blues
0.06568729,0.877973113,0.804795589,0.454545455,0.884194584,0,0.105299145,0.07487082,3.66E-05,0.043668122,0.981632653,0.544202213,0.8,blues
0.060810619,0.495346432,0.917490919,0,0.925242186,1,0.129059829,0.057282813,0.000382292,0.280008521,0.382653061,0.745238574,0.8,blues
0.082636273,0.799379524,0.832969421,0,0.861503512,1,0.083589744,0.005011255,1.46E-06,0.034082437,0.640816327,0.68168916,0.8,blues
0.032471734,0.596690796,0.684050592,0.454545455,0.848708776,1,0.087863248,0.06411701,1.08E-06,0.184151667,0.760204082,0.760092753,0.8,blues
0.091699527,0.718717684,0.554249721,0,0.720474189,1,0.057264957,0.1989919,0.015208333,0.311960805,0.863265306,0.686111097,0.8,blues
0.091305356,0.788004137,0.473753056,0.363636364,0.728673264,0,0.069401709,0.059292871,5.88E-05,0.27468314,0.862244898,0.471916777,0.8,blues
0.086950281,0.865563599,0.379169476,0.636363636,0.653706557,0,0.109401709,0.543716841,0.00821875,0.188411971,0.910204082,0.514724266,0.8,blues
0.082496567,0.697001034,0.752472757,0.363636364,0.880068935,0,0.061367521,0.181906407,0,0.180956438,0.480612245,0.519685464,0.8,blues
0.077477887,0.44467425,0.138685691,0,0.574457529,1,0.048888889,0.760803102,0.000519792,0.112791565,0.145918367,0.458749013,0.6,blues
0.13050295,0.319544984,0.369107393,0,0.715069065,1,0.054700855,0.870351261,0.551041667,0.095750346,0.179591837,0.631238878,0.8,blues
0.074438124,0.4663909,0.693106467,0.818181818,0.818863096,1,0.068376068,0.000613249,0.010833333,0.09468527,0.543877551,0.833535148,0.8,blues
0.053902066,0.675284385,0.401306058,0,0.694336371,1,0.081367521,0.626129218,0.847916667,0.096815422,0.462244898,0.434560723,0.8,blues
0.04244922,0.775594623,0.796745922,0.454545455,0.889704154,1,0.067692308,0.084720104,0,0.227819789,0.792857143,0.588416682,0.8,blues
0.056138134,0.270941055,0.355020476,0,0.792359715,0,0.051794872,0.616078928,0,0.16391522,0.434693878,0.853875078,0.6,blues
0.076159121,0.935884178,0.569342845,0.363636364,0.885056271,0,0.141709402,0.035071672,0,0.465331771,0.718367347,0.450988563,0.8,blues
