image_id,contrast,correlation,homogeneity,ASM
A1_0x40,182.36003370098038,0.9605434652651421,0.3041886333056972,0.010675758793004793
A1_0x42,242.01556372549024,0.9413492261033336,0.09986425315013782,0.0001416814643481474
A1_0x44,198.339537377451,0.9368059975159786,0.10238713164640095,0.00018193263633578432
A1_0x46,168.24116115196077,0.9395866847443884,0.11148971793595767,0.0002184950649990388
A1_0x48,175.4454656862745,0.9336029520234436,0.11171906534520909,0.0002242468247639129
A1_0x50,213.68587622549023,0.9231255458043522,0.10194697894416378,0.000195580130125733
A1_0x52,224.14235600490193,0.9214280717779204,0.09264963084972667,0.00017806144459162342
A1_0x54,257.8335937500001,0.9158351604835955,0.09006731848189159,0.0001703170664903523
A1_0x56,264.50341605392157,0.913748057219282,0.0926585150175273,0.00018028989657673729
A1_0x58,266.2210631127452,0.9549256557904374,0.16698035173676423,0.0011005203030009496
A1_10x34,239.5988664215687,0.938662953506744,0.10169725806324896,0.0001409680968933223
A1_10x36,165.84037990196083,0.9392899280842064,0.11962014080118429,0.00023599556435625725
A1_10x38,132.21672794117646,0.9509902850970942,0.13397792556640725,0.00029986330565467603
A1_10x40,141.02112438725493,0.9349930425972195,0.1284755421257113,0.00032936926302383696
A1_10x42,174.8220281862745,0.9319965062794957,0.11451798237238675,0.00023913414649714051
A1_10x44,187.85076593137256,0.9262675519448956,0.1050788221882445,0.00020463731553819453
A1_10x46,248.72094056372552,0.9298964366811013,0.09408537644394328,0.0001465654501498823
A1_10x48,279.7588541666667,0.9494305772841471,0.11076357409412887,0.00018666151164816423
A1_10x50,197.3714613970588,0.9674938535287806,0.40143389051146794,0.03082692780984177
A1_10x60,255.12518382352943,0.9579933198665551,0.1275749185916341,0.0003388012010104287
A1_10x62,255.66066176470594,0.93665813294761,0.09490150907777059,0.0001367191019905205
A1_10x64,273.7935202205882,0.9260548842353961,0.09025825521883211,0.00013364587275627163
A1_10x66,249.43969056372555,0.9214976999574386,0.09512153966991287,0.0001588026352544695
A1_10x68,224.74445465686276,0.9277424436578242,0.09632847404306201,0.00016701609938935742
A1_10x70,199.9088694852942,0.9202918497270673,0.10087700738882313,0.0002041263426326413
A1_10x72,230.9478094362745,0.9155121243764838,0.0947786825661176,0.00018665986902573531
A1_10x74,215.37075674019607,0.9235245552472191,0.09696014945423839,0.00019342242823523404
A1_10x76,176.2504442401961,0.9326440528290024,0.11038667031405935,0.00022313969724685218
A1_10x78,170.30638786764706,0.9310151023945233,0.11469168203063836,0.0002497887822216815
A1_10x80,180.23939950980395,0.9251938688050917,0.11182756658275493,0.00023167335542519712
A1_10x82,234.62005208333335,0.9345747359171107,0.10132205982549569,0.00016558420195207372
A1_10x84,222.11262254901962,0.9618080699995047,0.20763944989552008,0.0024858921026092726
A1_10x86,298.18498774509806,0.9434292421525146,0.09958936096186917,0.0001311366496659938
A1_10x88,332.32144607843145,0.9359793125899926,0.08937136920462146,0.00012094417749483376
A1_10x90,405.10785845588236,0.9280578539010562,0.0841113471626434,0.00011021961298689205
A1_10x92,401.8344975490197,0.9228394964220873,0.07818216637804828,0.00010713605869737605
